"participant","minutes","n_previous_marathons","age","gender","hills","weather"
543,164,10,30,"Male",8,"Sunny"
237,440,5,47,"Male",11,"Light Rain"
296,211,9,23,"Male",11,"Sunny"
49,322,5,25,"Male",-999,"Cloudy"
84,338,9,24,"Female",10,"Sunny"
334,362,10,38,"Other",7,"Cloudy"
333,324,9,40,"Female",10,"Cloudy"
463,459,7,41,"Female",12,"Cloudy"
499,238,8,37,"Male",8,"Light Rain"
342,379,4,38,"Female",12,"Cloudy"
556,370,7,29,"Female",10,"Sunny"
77,372,6,25,"Female",14,"Sunny"
230,207,11,29,"Male",5,"Sunny"
358,364,6,40,"Male",17,"Cloudy"
78,362,8,36,"Female",10,"Cloudy"
250,215,8,29,"Female",8,"Cloudy"
412,276,10,33,"Male",8,"Cloudy"
386,277,11,31,"Female",9,"Cloudy"
110,318,4,37,"Male",7,"Sunny"
176,242,8,37,"Male",11,"Sunny"
377,285,9,24,"Female",9,"Sunny"
535,411,3,33,"Male",7,"Sunny"
506,328,5,36,"Female",15,"Light Rain"
437,393,4,41,"Male",9,"Cloudy"
489,393,6,16,"Male",11,"Sunny"
124,459,5,48,"Female",16,"Cloudy"
138,319,9,46,"Male",6,"Sunny"
373,311,10,39,"Female",12,"Light Rain"
579,391,7,47,"Female",9,"Cloudy"
222,337,12,34,"Female",12,"Cloudy"
119,349,7,40,"Male",17,"Cloudy"
303,352,9,35,"Female",9,"Sunny"
451,393,7,50,"Male",11,"Cloudy"
135,385,7,35,"Female",6,"Sunny"
239,282,4,29,"Male",7,"Cloudy"
198,250,8,37,"Male",12,"Sunny"
560,524,2,51,"Female",17,"Cloudy"
483,445,6,35,"Female",18,"Sunny"
384,315,9,25,"Female",8,"Cloudy"
3,376,6,26,"Female",8,"Cloudy"
97,325,9,27,"Female",7,"Sunny"
62,458,4,42,"Other",10,"Light Rain"
486,408,4,29,"Female",11,"Sunny"
23,254,8,22,"Female",7,"Cloudy"
323,420,4,43,"Female",15,"Light Rain"
31,310,12,45,"Male",7,"Sunny"
487,407,4,43,"Female",6,"Cloudy"
594,436,4,53,"Female",10,"Sunny"
350,328,8,45,"Male",10,"Sunny"
29,334,5,48,"Other",13,"Sunny"
85,460,4,40,"Female",13,"Cloudy"
582,203,9,25,"Female",7,"Cloudy"
372,282,6,32,"Female",7,"Sunny"
456,215,10,34,"Female",13,"Sunny"
332,300,5,16,"Female",12,"Sunny"
116,261,4,9,"Female",14,"Sunny"
273,258,3,27,"Male",5,"Light Rain"
482,295,9,44,"Male",11,"Sunny"
102,276,6,23,"Female",12,"Light Rain"
1,364,5,28,"Female",11,"Cloudy"
74,508,0,43,"Female",12,"Sunny"
45,341,4,34,"Female",9,"Sunny"
445,196,10,37,"Male",9,"Cloudy"
330,303,11,56,"Male",11,"Sunny"
43,410,6,52,"Female",6,"Cloudy"
522,349,6,42,"Female",12,"Sunny"
108,274,8,43,"Male",11,"Light Rain"
321,239,10,21,"Male",4,"Cloudy"
217,313,6,34,"Male",14,"Light Rain"
504,325,3,47,"Male",11,"Sunny"
227,342,7,47,"Male",10,"Cloudy"
410,303,8,42,"Female",10,"Cloudy"
416,441,5,46,"Female",9,"Cloudy"
591,253,7,25,"Female",4,"Sunny"
71,445,9,59,"Female",10,"Light Rain"
341,301,6,27,"Male",15,"Sunny"
149,283,5,14,"Male",9,"Light Rain"
549,406,9,51,"Female",6,"Cloudy"
140,388,6,47,"Other",9,"Sunny"
128,260,4,35,"Female",13,"Sunny"
387,276,5,33,"Male",7,"Sunny"
162,308,6,32,"Female",2,"Cloudy"
407,302,8,38,"Female",8,"Cloudy"
205,283,6,20,"Female",10,"Cloudy"
574,431,6,44,"Female",12,"Sunny"
42,302,6,45,"Female",14,"Cloudy"
117,313,7,34,"Female",8,"Light Rain"
249,299,12,59,"Female",8,"Cloudy"
408,275,4,26,"Male",9,"Sunny"
37,311,9,21,"Male",11,"Sunny"
553,323,7,45,"Female",7,"Sunny"
276,435,9,49,"Male",18,"Sunny"
148,419,3,44,"Male",14,"Cloudy"
55,362,7,26,"Female",9,"Cloudy"
95,380,6,29,"Male",7,"Sunny"
40,373,5,34,"Male",11,"Cloudy"
221,443,5,45,"Male",7,"Sunny"
189,338,11,51,"Male",12,"Cloudy"
16,204,10,42,"Other",10,"Sunny"
69,244,9,44,"Other",9,"Light Rain"
8,291,10,37,"Female",10,"Cloudy"
511,284,7,10,"Female",10,"Sunny"
339,427,8,41,"Male",4,"Cloudy"
596,300,10,28,"Male",14,"Cloudy"
211,314,7,34,"Male",11,"Cloudy"
147,437,5,39,"Female",9,"Sunny"
335,337,6,21,"Male",12,"Sunny"
429,356,4,28,"Male",10,"Cloudy"
24,194,14,42,"Male",7,"Light Rain"
35,426,2,39,"Female",11,"Cloudy"
190,287,11,31,"Female",8,"Sunny"
218,387,6,38,"Female",12,"Sunny"
474,128,9,19,"Female",9,"Sunny"
528,346,2,16,"Female",14,"Cloudy"
589,267,13,27,"Female",10,"Cloudy"
80,398,4,17,"Female",11,"Light Rain"
518,255,9,47,"Male",5,"Cloudy"
438,343,7,34,"Female",6,"Cloudy"
262,302,10,41,"Male",9,"Sunny"
421,369,7,25,"Female",10,"Cloudy"
524,332,3,43,"Male",8,"Sunny"
25,318,8,30,"Female",4,"Sunny"
492,389,3,26,"Male",9,"Cloudy"
60,339,6,61,"Male",9,"Sunny"
290,329,8,22,"Female",5,"Sunny"
312,273,7,23,"Female",4,"Sunny"
20,308,12,44,"Female",17,"Light Rain"
232,322,6,30,"Female",16,"Cloudy"
417,257,12,43,"Female",14,"Sunny"
353,246,7,41,"Male",10,"Cloudy"
266,258,7,36,"Female",10,"Cloudy"
158,225,5,30,"Male",5,"Sunny"
527,292,11,31,"Female",9,"Sunny"
202,124,12,25,"Female",8,"Sunny"
75,331,7,40,"Other",15,"Cloudy"
367,386,5,37,"Female",9,"Sunny"
272,391,1,20,"Male",14,"Cloudy"
462,315,6,41,"Male",9,"Cloudy"
533,381,6,43,"Male",4,"Cloudy"
558,437,7,31,"Female",11,"Cloudy"
21,287,10,37,"Male",17,"Sunny"
191,394,5,34,"Female",14,"Cloudy"
127,453,4,59,"Female",14,"Sunny"
258,332,6,30,"Male",5,"Cloudy"
562,308,11,36,"Male",17,"Cloudy"
178,420,7,32,"Female",13,"Cloudy"
36,320,7,14,"Female",14,"Sunny"
314,385,3,35,"Female",7,"Cloudy"
286,337,6,33,"Male",10,"Sunny"
531,292,11,46,"Female",6,"Light Rain"
105,390,7,42,"Female",13,"Sunny"
304,243,9,20,"Male",15,"Cloudy"
133,408,8,38,"Female",8,"Heavy Rain"
231,289,8,41,"Female",9,"Sunny"
6,439,3,38,"Female",11,"Sunny"
215,487,3,29,"Male",11,"Heavy Rain"
344,264,5,41,"Female",12,"Cloudy"
244,271,8,23,"Male",12,"Cloudy"
279,293,3,20,"Male",8,"Cloudy"
468,270,8,33,"Male",7,"Cloudy"
545,313,9,41,"Female",10,"Cloudy"
502,234,6,28,"Male",10,"Sunny"
431,321,12,52,"Male",6,"Sunny"
200,347,7,41,"Female",9,"Sunny"
277,378,12,42,"Female",9,"Sunny"
423,309,7,41,"Male",10,"Cloudy"
540,412,5,38,"Male",9,"Heavy Rain"
28,291,7,41,"Male",12,"Cloudy"
471,362,4,18,"Female",16,"Light Rain"
325,339,4,26,"Male",3,"Sunny"
337,287,8,34,"Female",8,"Light Rain"
357,330,8,45,"Female",12,"Sunny"
448,365,4,30,"Male",7,"Cloudy"
529,273,14,23,"Female",10,"Cloudy"
137,346,9,42,"Female",12,"Cloudy"
382,355,9,45,"Male",11,"Sunny"
402,220,4,20,"Male",10,"Sunny"
300,360,9,54,"Female",8,"Sunny"
349,305,5,42,"Male",10,"Sunny"
93,321,6,44,"Female",6,"Sunny"
280,355,8,35,"Female",13,"Cloudy"
151,336,10,49,"Female",8,"Light Rain"
186,328,7,43,"Female",9,"Cloudy"
241,167,7,32,"Female",5,"Sunny"
406,360,7,41,"Female",11,"Light Rain"
403,170,11,28,"Male",7,"Cloudy"
247,300,6,23,"Male",8,"Cloudy"
449,390,6,59,"Female",13,"Sunny"
467,395,5,48,"Female",9,"Cloudy"
18,319,3,22,"Female",12,"Sunny"
126,93,13,30,"Female",11,"Sunny"
311,309,6,31,"Male",6,"Light Rain"
171,374,8,55,"Female",10,"Cloudy"
283,236,6,23,"Male",5,"Sunny"
115,259,8,31,"Male",9,"Cloudy"
599,272,10,39,"Male",12,"Sunny"
459,360,4,15,"Female",7,"Sunny"
345,303,7,31,"Female",11,"Cloudy"
536,309,9,38,"Female",7,"Cloudy"
79,309,6,35,"Male",-999,"Cloudy"
181,257,10,35,"Male",10,"Cloudy"
228,319,7,36,"Female",7,"Cloudy"
569,299,7,30,"Male",15,"Sunny"
180,261,7,33,"Female",7,"Cloudy"
139,293,13,13,"Female",12,"Cloudy"
9,320,7,47,"Male",10,"Light Rain"
302,390,2,35,"Female",13,"Sunny"
327,103,17,37,"Male",11,"Sunny"
598,253,6,31,"Female",10,"Sunny"
252,324,5,27,"Female",7,"Cloudy"
168,312,5,52,"Female",10,"Sunny"
253,346,7,46,"Male",9,"Cloudy"
360,255,10,36,"Female",8,"Cloudy"
585,251,10,40,"Male",6,"Sunny"
547,387,3,29,"Female",14,"Cloudy"
224,390,8,32,"Female",9,"Sunny"
236,357,6,43,"Male",12,"Sunny"
554,182,10,23,"Male",13,"Sunny"
242,288,8,30,"Female",17,"Sunny"
466,374,5,45,"Female",11,"Sunny"
26,272,8,42,"Male",19,"Cloudy"
472,404,9,31,"Female",12,"Cloudy"
88,322,10,24,"Female",12,"Sunny"
238,289,10,39,"Male",13,"Sunny"
11,266,12,48,"Female",10,"Cloudy"
306,293,7,33,"Male",7,"Cloudy"
568,287,9,46,"Male",7,"Cloudy"
293,485,3,43,"Female",10,"Cloudy"
366,242,9,35,"Male",10,"Cloudy"
112,387,6,38,"Female",9,"Cloudy"
316,223,9,9,"Female",8,"Sunny"
573,348,7,24,"Female",14,"Sunny"
588,241,8,29,"Male",7,"Sunny"
44,322,6,36,"Male",7,"Sunny"
106,240,10,18,"Female",7,"Sunny"
500,302,9,41,"Male",10,"Light Rain"
120,336,6,29,"Female",8,"Sunny"
411,362,6,46,"Female",9,"Cloudy"
493,467,7,44,"Female",11,"Heavy Rain"
371,325,6,30,"Female",12,"Cloudy"
497,460,5,39,"Female",13,"Sunny"
368,394,2,33,"Male",5,"Light Rain"
322,310,5,38,"Male",8,"Cloudy"
210,352,4,34,"Female",5,"Cloudy"
185,346,7,42,"Male",12,"Sunny"
68,206,9,26,"Male",9,"Sunny"
163,292,8,40,"Other",6,"Cloudy"
39,306,6,44,"Male",11,"Sunny"
27,349,7,34,"Female",8,"Sunny"
347,210,13,27,"Female",8,"Cloudy"
51,391,3,45,"Male",10,"Cloudy"
433,310,6,16,"Female",16,"Sunny"
248,312,12,41,"Female",11,"Cloudy"
129,406,4,51,"Female",9,"Sunny"
206,304,10,34,"Male",14,"Cloudy"
118,256,12,39,"Male",-999,"Light Rain"
396,424,5,60,"Male",13,"Cloudy"
155,422,4,44,"Female",8,"Light Rain"
584,363,6,47,"Female",17,"Sunny"
388,335,5,40,"Male",9,"Light Rain"
5,276,11,31,"Male",9,"Cloudy"
516,458,4,43,"Male",7,"Sunny"
552,345,5,34,"Male",14,"Cloudy"
324,352,8,37,"Female",12,"Sunny"
70,334,6,30,"Male",13,"Cloudy"
551,387,6,41,"Male",6,"Sunny"
143,473,2,42,"Female",13,"Cloudy"
490,226,10,28,"Female",5,"Sunny"
73,271,8,30,"Female",19,"Sunny"
444,359,4,42,"Male",8,"Cloudy"
390,202,5,14,"Male",8,"Light Rain"
359,359,6,43,"Female",15,"Sunny"
183,365,8,48,"Female",9,"Cloudy"
590,267,7,39,"Male",7,"Cloudy"
520,288,9,23,"Female",11,"Cloudy"
54,493,4,36,"Female",14,"Cloudy"
182,411,6,38,"Other",11,"Light Rain"
586,468,4,40,"Female",11,"Sunny"
130,296,8,21,"Male",9,"Cloudy"
453,429,5,40,"Female",12,"Sunny"
352,234,12,36,"Male",11,"Sunny"
571,216,7,24,"Male",7,"Sunny"
481,434,5,43,"Female",12,"Light Rain"
476,456,6,54,"Male",13,"Cloudy"
393,349,8,47,"Male",11,"Light Rain"
600,357,3,37,"Male",7,"Sunny"
245,370,6,44,"Male",6,"Sunny"
67,363,9,39,"Female",8,"Cloudy"
495,340,4,33,"Male",10,"Sunny"
86,358,6,49,"Male",6,"Light Rain"
61,299,8,33,"Female",9,"Cloudy"
391,156,13,34,"Male",8,"Sunny"
289,295,3,41,"Male",11,"Sunny"
188,244,7,29,"Female",10,"Sunny"
65,383,9,43,"Female",9,"Cloudy"
275,266,9,31,"Male",17,"Sunny"
544,312,5,36,"Male",15,"Sunny"
430,292,10,45,"Female",8,"Sunny"
156,284,6,8,"Female",9,"Light Rain"
557,275,8,20,"Female",8,"Sunny"
369,396,6,41,"Male",8,"Sunny"
157,424,7,46,"Female",13,"Cloudy"
2,159,9,27,"Male",7,"Light Rain"
152,368,7,45,"Male",9,"Sunny"
10,362,7,55,"Female",8,"Sunny"
374,390,7,29,"Female",13,"Cloudy"
577,287,6,43,"Male",9,"Sunny"
281,401,9,32,"Female",11,"Cloudy"
310,199,7,27,"Male",7,"Sunny"
379,390,6,26,"Female",15,"Sunny"
174,216,9,33,"Female",14,"Cloudy"
197,282,6,37,"Female",4,"Sunny"
256,261,9,20,"Female",14,"Cloudy"
233,338,7,21,"Female",7,"Sunny"
537,395,6,17,"Female",11,"Cloudy"
123,350,6,36,"Male",12,"Sunny"
96,314,5,50,"Other",4,"Sunny"
561,399,3,44,"Female",3,"Cloudy"
212,386,5,37,"Female",12,"Cloudy"
161,332,7,44,"Male",10,"Cloudy"
144,296,5,33,"Male",21,"Sunny"
515,329,9,38,"Male",15,"Cloudy"
229,374,8,39,"Female",13,"Cloudy"
329,373,6,21,"Female",12,"Cloudy"
17,300,5,34,"Male",11,"Cloudy"
480,384,8,32,"Female",7,"Cloudy"
432,318,7,44,"Male",7,"Sunny"
415,398,5,49,"Female",7,"Sunny"
458,331,9,33,"Female",10,"Cloudy"
439,365,4,34,"Female",12,"Cloudy"
331,379,8,28,"Female",14,"Cloudy"
532,340,8,29,"Female",6,"Sunny"
420,451,2,39,"Female",6,"Cloudy"
597,378,7,37,"Female",10,"Sunny"
259,354,7,33,"Male",13,"Light Rain"
581,301,10,40,"Female",11,"Sunny"
559,448,7,36,"Female",13,"Cloudy"
376,152,12,15,"Female",3,"Sunny"
269,335,2,32,"Male",9,"Sunny"
307,410,4,28,"Female",9,"Cloudy"
538,354,9,27,"Male",14,"Cloudy"
461,216,13,40,"Male",-999,"Sunny"
41,388,4,41,"Female",11,"Sunny"
109,324,6,30,"Male",8,"Sunny"
567,302,6,16,"Female",13,"Sunny"
587,332,5,25,"Female",10,"Sunny"
122,354,6,38,"Female",18,"Cloudy"
457,268,9,45,"Male",5,"Cloudy"
30,343,4,35,"Male",7,"Cloudy"
401,161,13,28,"Male",13,"Cloudy"
98,347,4,43,"Male",5,"Cloudy"
313,377,8,52,"Female",13,"Sunny"
53,362,9,31,"Other",11,"Sunny"
7,258,7,15,"Male",12,"Cloudy"
501,345,6,39,"Female",7,"Sunny"
477,317,8,35,"Other",15,"Sunny"
282,342,4,34,"Male",11,"Sunny"
343,284,7,37,"Female",13,"Cloudy"
107,213,11,32,"Female",11,"Sunny"
201,430,5,29,"Female",-999,"Sunny"
271,440,10,45,"Other",10,"Cloudy"
288,370,5,27,"Male",9,"Cloudy"
196,309,7,21,"Male",12,"Light Rain"
318,258,5,28,"Female",7,"Sunny"
243,474,4,42,"Female",13,"Heavy Rain"
195,252,11,26,"Female",9,"Cloudy"
389,365,4,32,"Female",5,"Cloudy"
320,209,10,50,"Male",7,"Light Rain"
514,347,6,37,"Male",-999,"Cloudy"
525,322,7,32,"Female",8,"Cloudy"
114,302,12,34,"Male",12,"Light Rain"
488,278,8,15,"Female",8,"Sunny"
66,279,6,33,"Female",9,"Light Rain"
593,221,12,24,"Female",7,"Cloudy"
145,314,10,29,"Female",11,"Sunny"
90,387,5,38,"Male",12,"Cloudy"
216,285,8,28,"Female",12,"Light Rain"
491,261,12,39,"Female",10,"Cloudy"
240,258,9,33,"Male",9,"Sunny"
447,375,9,62,"Female",12,"Sunny"
125,420,6,28,"Female",11,"Light Rain"
428,305,6,37,"Female",4,"Cloudy"
479,370,5,40,"Female",10,"Sunny"
413,316,5,34,"Female",0,"Cloudy"
177,357,6,52,"Female",9,"Cloudy"
146,387,5,37,"Male",6,"Light Rain"
418,421,6,32,"Male",13,"Sunny"
508,394,7,57,"Male",9,"Cloudy"
132,308,10,39,"Female",14,"Cloudy"
48,288,7,29,"Female",12,"Light Rain"
510,373,6,33,"Female",13,"Sunny"
484,274,8,23,"Female",12,"Sunny"
414,292,7,34,"Female",9,"Sunny"
142,403,6,40,"Female",12,"Cloudy"
328,351,3,24,"Female",8,"Sunny"
546,275,12,35,"Female",8,"Cloudy"
154,488,5,42,"Female",10,"Sunny"
64,382,5,45,"Male",12,"Sunny"
397,291,5,33,"Male",7,"Cloudy"
446,209,8,13,"Male",15,"Light Rain"
150,250,9,19,"Female",8,"Sunny"
270,189,7,36,"Male",9,"Sunny"
111,176,11,40,"Female",9,"Light Rain"
441,433,5,42,"Female",9,"Heavy Rain"
32,267,11,23,"Female",7,"Sunny"
375,332,7,36,"Male",7,"Cloudy"
219,222,9,25,"Female",11,"Cloudy"
455,401,5,33,"Female",6,"Cloudy"
436,363,8,40,"Female",14,"Sunny"
263,249,8,24,"Male",7,"Sunny"
426,318,8,38,"Female",6,"Sunny"
287,390,3,39,"Female",14,"Sunny"
193,280,13,48,"Male",12,"Sunny"
485,171,11,22,"Female",5,"Cloudy"
131,294,8,33,"Female",8,"Sunny"
319,335,6,23,"Male",11,"Sunny"
255,300,7,52,"Male",11,"Sunny"
297,361,13,34,"Male",16,"Cloudy"
164,377,6,31,"Female",9,"Cloudy"
434,217,15,49,"Male",6,"Cloudy"
521,289,6,23,"Male",10,"Sunny"
260,227,10,29,"Male",15,"Light Rain"
220,179,11,33,"Female",7,"Cloudy"
246,281,8,44,"Other",14,"Light Rain"
15,403,4,31,"Female",12,"Sunny"
443,349,9,59,"Female",9,"Light Rain"
473,392,6,40,"Female",11,"Cloudy"
94,319,8,27,"Male",12,"Sunny"
153,291,6,39,"Female",8,"Sunny"
541,273,9,27,"Male",8,"Heavy Rain"
58,385,9,35,"Female",11,"Light Rain"
317,238,10,30,"Male",7,"Sunny"
91,333,4,29,"Female",10,"Heavy Rain"
