"books_sold","weeks_best_seller","n_books_published","genre","page_numbers","publication_year"
1945,5,2,"Mystery",363,6
1800,7,1,"Mystery",211,9
1959,6,4,"Science Fiction",364,9
1603,4,4,"Science Fiction",504,14
1752,4,5,"Romance",330,10
1157,4,0,"Science Fiction",605,27
1887,6,2,"Science Fiction",340,9
2172,9,4,"Science Fiction",340,5
1776,4,4,"Romance",456,9
1969,5,2,"Science Fiction",378,8
1158,4,2,"Science Fiction",99,28
1523,3,4,"Science Fiction",378,14
1757,4,1,"Science Fiction",382,9
1639,4,5,"Science Fiction",259,10
1853,5,2,"Science Fiction",347,7
1624,4,2,"Mystery",347,11
1705,4,4,"Science Fiction",438,8
1805,4,3,"Science Fiction",310,10
1670,4,1,"Science Fiction",381,10
1705,5,0,"Science Fiction",401,11
1654,4,2,"Science Fiction",367,12
1681,5,3,"Mystery",371,12
1597,4,1,"Science Fiction",388,12
1571,5,4,"Science Fiction",398,13
1600,3,1,"Science Fiction",215,12
1829,5,4,"Science Fiction",277,7
1933,6,1,"Science Fiction",229,7
1811,5,5,"Romance",338,9
1617,3,7,"Science Fiction",328,12
1949,6,6,"Mystery",409,9
2055,7,3,"Science Fiction",331,6
1666,5,1,"Science Fiction",322,11
1439,6,4,"Science Fiction",547,17
1780,5,3,"Mystery",364,10
1410,2,2,"Mystery",465,17
1660,6,2,"Science Fiction",218,10
1403,3,2,"Science Fiction",204,17
1788,5,2,"Romance",322,8
1815,5,6,"Science Fiction",362,9
1496,4,2,"Mystery",380,15
2021,7,2,"Science Fiction",334,6
1523,2,6,"Science Fiction",387,13
1586,3,0,"Mystery",411,11
1907,4,3,"Mystery",364,9
1704,6,4,"Mystery",382,8
1542,3,5,"Mystery",388,13
1782,5,3,"Romance",285,10
1779,5,5,"Science Fiction",414,10
1868,6,6,"Mystery",396,10
1901,7,2,"Romance",284,8
1851,5,0,"Science Fiction",333,7
1487,3,1,"Science Fiction",297,14
1674,5,1,"Science Fiction",228,12
1895,4,2,"Science Fiction",375,8
1660,3,2,"Science Fiction",265,11
1518,2,2,"Science Fiction",452,12
1624,3,2,"Mystery",267,11
2057,7,2,"Science Fiction",406,7
1496,3,3,"Mystery",457,13
1358,1,1,"Mystery",429,18
1659,3,1,"Mystery",303,12
2192,8,5,"Science Fiction",321,6
1874,6,5,"Mystery",365,7
1525,5,3,"Romance",233,13
1171,0,2,"Science Fiction",468,27
1784,3,1,"Mystery",358,10
1524,4,4,"Science Fiction",463,14
1843,6,8,"Romance",362,8
1828,5,3,"Romance",447,8
1456,4,3,"Mystery",432,15
1790,5,4,"Science Fiction",403,9
1900,6,2,"Science Fiction",218,7
1447,4,3,"Mystery",502,15
1601,3,1,"Science Fiction",265,11
1618,3,4,"Mystery",342,12
1495,3,3,"Romance",440,13
1816,6,3,"Romance",234,9
2128,7,3,"Mystery",341,7
1685,3,4,"Mystery",295,9
1572,4,3,"Science Fiction",449,12
1198,4,5,"Mystery",125,24
1589,3,2,"Romance",375,14
1860,5,2,"Mystery",267,10
1564,6,2,"Mystery",154,13
1936,5,5,"Mystery",341,6
1841,4,2,"Mystery",403,9
1691,3,0,"Mystery",344,8
1476,3,3,"Mystery",277,15
1779,6,1,"Science Fiction",408,10
1263,3,7,"Romance",181,22
1995,7,3,"Mystery",437,6
1649,2,0,"Mystery",390,12
1880,5,2,"Science Fiction",353,8
1457,4,5,"Science Fiction",505,15
1524,4,4,"Mystery",451,14
1843,6,4,"Science Fiction",323,8
1580,4,3,"Science Fiction",306,11
1850,6,3,"Science Fiction",321,10
1717,6,2,"Science Fiction",208,10
2143,7,2,"Mystery",396,5
1557,4,2,"Mystery",209,13
1523,4,1,"Science Fiction",198,14
1118,5,2,"Mystery",596,29
1587,8,3,"Romance",593,13
1511,2,3,"Mystery",287,14
1299,4,3,"Science Fiction",129,19
1628,3,5,"Science Fiction",429,12
1674,3,2,"Science Fiction",347,10
1626,4,4,"Science Fiction",449,12
1954,5,5,"Science Fiction",315,6
1577,2,7,"Science Fiction",411,11
1556,2,3,"Mystery",406,13
1836,5,3,"Science Fiction",294,9
1528,4,6,"Science Fiction",512,14
1454,2,1,"Romance",334,16
1591,3,2,"Science Fiction",429,12
1621,3,5,"Science Fiction",342,12
1705,4,2,"Romance",217,10
1660,5,1,"Science Fiction",478,11
1793,6,2,"Science Fiction",436,10
1482,5,5,"Mystery",183,14
1655,6,3,"Mystery",519,12
1841,6,1,"Science Fiction",274,10
1429,4,5,"Science Fiction",545,16
1461,3,7,"Mystery",515,16
1403,3,1,"Mystery",435,18
1240,4,4,"Science Fiction",588,22
1637,4,3,"Science Fiction",286,11
1258,4,5,"Mystery",536,23
1649,8,3,"Mystery",156,11
1777,4,2,"Science Fiction",238,8
1548,3,5,"Science Fiction",290,13
1813,6,5,"Science Fiction",432,9
1944,6,5,"Mystery",357,8
1620,3,4,"Mystery",350,13
1665,5,1,"Science Fiction",211,11
1914,4,5,"Mystery",267,8
1497,3,6,"Mystery",412,12
1794,4,2,"Science Fiction",331,9
1851,6,7,"Mystery",474,7
1582,6,3,"Mystery",165,11
1509,2,5,"Mystery",371,15
1453,3,4,"Science Fiction",208,14
1701,6,2,"Mystery",494,10
1591,7,4,"Science Fiction",164,13
1388,4,1,"Mystery",240,16
1726,5,4,"Science Fiction",299,12
1301,4,3,"Romance",566,19
1389,4,1,"Mystery",177,18
1567,5,3,"Science Fiction",463,13
1661,4,1,"Mystery",272,11
1980,7,3,"Mystery",294,8
1923,6,4,"Romance",431,9
2049,5,2,"Science Fiction",404,5
1568,7,3,"Science Fiction",582,13
1469,4,5,"Mystery",196,14
1870,6,4,"Science Fiction",452,8
1913,6,0,"Mystery",415,8
971,3,2,"Romance",90,46
1775,5,3,"Science Fiction",337,9
2124,6,5,"Romance",282,5
1538,3,3,"Science Fiction",361,12
1744,5,2,"Science Fiction",461,10
1246,2,4,"Mystery",452,22
2024,6,1,"Science Fiction",488,7
1648,2,4,"Science Fiction",305,12
1858,5,4,"Science Fiction",427,7
1773,7,5,"Science Fiction",188,9
1615,3,2,"Romance",321,10
1893,7,1,"Romance",414,8
1781,4,4,"Science Fiction",320,9
1437,4,4,"Science Fiction",204,16
1875,5,5,"Science Fiction",398,8
1566,2,7,"Science Fiction",383,15
1571,5,0,"Science Fiction",154,12
2037,5,1,"Science Fiction",436,9
1314,1,3,"Science Fiction",334,21
1680,4,3,"Science Fiction",441,10
1764,4,4,"Science Fiction",310,8
2017,6,3,"Mystery",387,7
1733,4,2,"Mystery",397,8
1514,3,4,"Science Fiction",340,13
1637,4,3,"Mystery",236,12
1582,3,8,"Mystery",298,12
1759,4,7,"Romance",353,9
1824,5,0,"Science Fiction",281,9
1336,4,4,"Mystery",175,19
1688,4,3,"Science Fiction",408,8
1390,1,6,"Science Fiction",313,18
1746,4,1,"Mystery",326,9
1555,5,4,"Romance",206,13
1693,2,4,"Science Fiction",356,10
1449,6,6,"Science Fiction",618,15
1733,4,3,"Science Fiction",338,11
1512,4,4,"Mystery",282,12
1967,5,4,"Romance",421,7
1767,5,3,"Science Fiction",260,11
1644,5,3,"Science Fiction",263,12
1689,5,6,"Science Fiction",434,11
1765,5,0,"Mystery",378,7
1978,5,1,"Science Fiction",318,7
1673,3,2,"Science Fiction",330,12
1758,4,3,"Science Fiction",356,11
2013,7,1,"Science Fiction",430,5
1303,4,2,"Mystery",559,18
1825,5,0,"Science Fiction",425,8
1500,4,2,"Science Fiction",232,15
1796,6,1,"Mystery",415,9
